dir,position, wavelength(nm), frequency (THz)
up,102000,1116.378124,268.5402479
up,102250,1116.378177,268.540235
up,102500,1116.379084,268.5400168
up,102750,1116.380175,268.5397544
up,103000,1116.3815,268.5394352
up,103250,1116.384607,268.5386879
up,103500,1116.38972,268.5374579
up,103750,1116.395817,268.5359915
up,104000,1116.40159,268.5346028
up,104250,1116.406735,268.5333654
up,104500,1116.411612,268.5321922
up,104750,1116.417417,268.5307959
up,105000,1116.429646,268.5278544
up,105250,1116.457272,268.5212103
up,105500,1116.486928,268.5140777
up,105750,1116.549273,268.4990847
up,106000,1116.6346,268.4785675
up,106250,1116.739529,268.4533412
up,106500,1116.847596,268.4273656
up,106750,1116.932329,268.4070018
up,107000,1117.030324,268.3834553
up,107250,1117.121453,268.3615618
up,107500,1117.215925,268.338869
up,107750,1117.297151,268.3193611
up,108000,1117.378309,268.2998726
up,108250,1117.47611,268.2763913
up,108500,1117.573975,268.2528985
up,108750,1117.675228,268.2285965
up,109000,1117.783147,268.2026997
up,109250,1117.887775,268.1775978
up,109500,1117.985799,268.1540842
up,109750,1118.093743,268.1281958
up,110000,1118.19174,268.1046969
up,110250,1118.296446,268.0795946
up,110500,1118.414572,268.0512803
up,110750,1118.502654,268.0301713
up,111000,1118.614157,268.0034543
up,111250,1118.729059,267.9759281
up,111500,1118.847295,267.9476093
up,111750,1118.958895,267.9208857
up,112000,1119.053825,267.8981575
up,112250,1119.165475,267.8714316
up,112500,1119.280416,267.8439235
up,112750,1119.37531,267.8212171
up,113000,1119.487079,267.794478
up,113250,1119.608877,267.7653455
up,113500,1119.72062,267.7386237
up,113750,1119.83573,267.7111024
up,114000,1119.920691,267.690793
up,114250,1120.042587,267.6616598
up,114500,1120.154436,267.634933
up,114750,1120.259634,267.6098012
up,115000,1120.35479,267.5870719
up,115250,1120.476761,267.5579435
up,115500,1120.595108,267.5296861
up,115750,1120.700671,267.5044873
up,116000,1120.792476,267.4825754
up,116250,1120.91117,267.4542515
up,116500,1121.016413,267.4291428
up,116750,1121.121818,267.4039996
up,117000,1121.223581,267.3797295
up,117250,1121.34588,267.3505681
up,117500,1121.457385,267.3239863
up,117750,1121.546526,267.3027386
up,118000,1121.658739,267.2759972
up,118250,1121.777196,267.2477734
up,118500,1121.862817,267.2273771
up,118750,1121.978651,267.1997874
up,119000,1122.094063,267.1723056
up,119250,1122.19952,267.1471984
up,119500,1122.291827,267.125226
up,119750,1122.40065,267.0993271
up,120000,1122.529554,267.0686571
up,120250,1122.605116,267.0506791
up,120500,1122.713973,267.024775
up,120750,1122.842684,266.9941762
up,121000,1122.921953,266.9753292
up,121250,1123.031403,266.9493081
up,121500,1123.129687,266.9259437
up,121750,1123.23884,266.9000099
up,122000,1123.330918,266.8781323
down,122000,1123.334431,266.8772992
down,121750,1123.334408,266.8773058
down,121500,1123.334261,266.8773379
down,121250,1123.334052,266.8773909
down,121000,1123.333632,266.8774895
down,120750,1123.329057,266.8785779
down,120500,1123.328051,266.8788148
down,120250,1123.317698,266.8812751
down,120000,1123.29165,266.8874625
down,119750,1123.275301,266.8913462
down,119500,1123.251396,266.8970223
down,119250,1123.228331,266.9025072
down,119000,1123.216385,266.9053456
down,118750,1123.185955,266.9125784
down,118500,1123.163421,266.9179329
down,118250,1123.117924,266.9287448
down,118000,1123.060625,266.9423654
down,117750,1122.988753,266.9594473
down,117500,1122.889069,266.9831473
down,117250,1122.820339,266.9994899
down,117000,1122.721804,267.0229225
down,116750,1122.625766,267.0457663
down,116500,1122.56103,267.0611665
down,116250,1122.465522,267.0838895
down,116000,1122.356451,267.1098454
down,115750,1122.321741,267.1181063
down,115500,1122.189185,267.1496598
down,115250,1122.127498,267.1642537
down,115000,1122.038675,267.1854942
down,114750,1121.922949,267.2130542
down,114500,1121.846237,267.2313265
down,114250,1121.735757,267.2576462
down,114000,1121.626902,267.2835841
down,113750,1121.534945,267.3054989
down,113500,1121.416052,267.3338389
down,113250,1121.317465,267.3573428
down,113000,1121.20876,267.3832644
down,112750,1121.110172,267.4067777
down,112500,1121.001618,267.4326724
down,112250,1120.906433,267.4553821
down,112000,1120.797817,267.4813012
down,111750,1120.685858,267.5080231
down,111500,1120.577303,267.5339378
down,111250,1120.472152,267.5590444
down,111000,1120.360402,267.5857318
down,110750,1120.255244,267.61085
down,110500,1120.150138,267.6359608
down,110250,1120.04846,267.6602566
down,110000,1119.94013,267.6861472
down,109750,1119.83176,267.7120518
down,109500,1119.710013,267.7411603
down,109250,1119.601725,267.7670566
down,109000,1119.500062,267.7913725
down,108750,1119.385159,267.8188609
down,108500,1119.273592,267.8455568
down,108250,1119.165334,267.8714655
down,108000,1119.0539,267.8981401
down,107750,1118.949023,267.9232496
down,107500,1118.84084,267.9491556
down,107250,1118.719358,267.978252
down,107000,1118.607815,268.0049737
down,106750,1118.503006,268.0300872
down,106500,1118.394858,268.0560055
down,106250,1118.280109,268.0835112
down,106000,1118.165381,268.1110179
down,105750,1118.05733,268.1369285
down,105500,1117.945901,268.1636545
down,105250,1117.827963,268.1919475
down,105000,1117.706502,268.2210918
down,104750,1117.595201,268.2478038
down,104500,1117.48719,268.2737315
down,104250,1117.375858,268.3004612
down,104000,1117.261159,268.3280057
down,103750,1117.136548,268.3579359
down,103500,1117.031905,268.3830756
down,103250,1116.917336,268.4106051
down,103000,1116.802818,268.4381281
down,102750,1116.684991,268.4664528
down,102500,1116.570532,268.4939729
down,102250,1116.459386,268.5207019
down,102000,1116.371549,268.5418295
