P=900,I=10000.0,D=30.0
Ts=0.05
Iteration,time(s),piezo_output,measured_wavelength(nm)
2,0.1,-213.97960191700824,267.70628088658805
3,0.15000000000000002,7.415198402971327,267.7082668671006
4,0.2,154.70302482496,267.7788865607133
5,0.25,37.98814805939339,267.7348995072309
6,0.30000000000000004,168.73815850945383,267.7791437859181
7,0.35000000000000003,72.5679334327929,267.7527982568254
8,0.4,133.70352104465627,267.7735374063218
9,0.45,79.59599692094905,267.7554788446034
10,0.5,121.32446672459423,267.769017494687
11,0.55,88.77284608886123,267.7587304188605
12,0.6000000000000001,112.76242660681093,267.7660936328284
13,0.65,95.48608502481923,267.760947663142
14,0.7000000000000001,107.4521253289656,267.7644299743693
15,0.75,99.3586139012013,267.7621134012181
16,0.8,104.92035244876293,267.7636831981542
17,0.8500000000000001,101.31952044172931,267.7626763644378
18,0.9,103.54429750925824,267.76329549088877
19,0.9500000000000001,102.06515241893014,267.76288521379325
20,1.0,102.99132983573973,267.7631414021287
21,1.05,102.41125146911767,267.7629832264922
22,1.1,102.78626680441779,267.76308370844924
23,1.1500000000000001,102.54634671330751,267.76302018783923
24,1.2000000000000002,102.68932102409048,267.7630576313323
25,1.25,102.60490519097308,267.7630356797153
26,1.3,102.65403436173608,267.76304928513827
27,1.35,102.62328093337868,267.7630411681434
28,1.4000000000000001,102.63980516012882,267.76304535942376
29,1.4500000000000002,102.62943562661377,267.7630425287777
30,1.5,102.63688582810025,267.76304491061876
31,1.55,102.62942772944706,267.7630430687312
32,1.6,102.63204013400603,267.76304473169887
33,1.6500000000000001,102.62744350977331,267.76304334104407
34,1.7000000000000002,102.62987367726416,267.76304376568135
35,1.75,102.62809823347858,267.7630436755487
36,1.8,102.62829038932068,267.7630440079856
37,1.85,102.62851569528821,267.76304405924566
38,1.9000000000000001,102.6275151496944,267.7630442902684
39,1.9500000000000002,102.62524911319737,267.76304370754127
40,2.0,102.62544596385652,267.763043696247
41,2.0500000000000003,102.6250518647788,267.76304383502736
42,2.1,102.62488318283452,267.76304394269783
43,2.15,102.62390375512166,267.7630445838804
44,2.2,102.62267636733074,267.7630442701387
45,2.25,102.62218102314137,267.76304428742617
46,2.3000000000000003,102.6219720322477,267.76304419432427
47,2.35,102.61950187407214,267.7630433923194
48,2.4000000000000004,102.62212443080404,267.7630440192801
49,2.45,102.6195614605375,267.7630436346191
50,2.5,102.61905017796198,267.76304409446305
51,2.5500000000000003,102.6180679418063,267.76304383370257
52,2.6,102.61692641384437,267.7630440980709
53,2.6500000000000004,102.61548350023857,267.763043644681
54,2.7,102.6143349559797,267.76304371286193
55,2.75,102.61448464372687,267.7630443995707
56,2.8000000000000003,102.61336476524501,267.7630435475751
57,2.85,102.61526721233514,267.76304348490726
58,2.9000000000000004,102.61630939363846,267.7630442366125
59,2.95,102.61620986593984,267.7630439705198
60,3.0,102.61452304139664,267.7630430938873
61,3.0500000000000003,102.61620357864716,267.76304434454914
62,3.1,102.61584034553914,267.76304426106896
63,3.1500000000000004,102.61432036844293,267.7630438225477
64,3.2,102.61412478044345,267.76304402995476
65,3.25,102.61330160338363,267.763044273286
66,3.3000000000000003,102.61379552955873,267.76304470343456
